name;lat;lng;capital
Paris;48.8567;2.3522;primary
Marseille;43.2964;5.37;admin
Lyon;45.76;4.84;admin
Toulouse;43.6045;1.444;admin
Nice;43.7034;7.2663;minor
Nantes;47.2181;-1.5528;admin
Montpellier;43.6119;3.8772;minor
Strasbourg;48.5833;7.7458;admin
Bordeaux;44.84;-0.58;admin
Lille;50.6278;3.0583;admin
Rennes;48.1147;-1.6794;admin
Reims;49.2628;4.0347;minor
Toulon;43.1258;5.9306;minor
Saint-Etienne;45.4347;4.3903;minor
Le Havre;49.49;0.1;minor
Grenoble;45.1715;5.7224;minor
Villeurbanne;45.7667;4.8803;
Dijon;47.3167;5.0167;admin
Angers;47.4736;-0.5542;minor
Clermont-Ferrand;45.7831;3.0824;minor
Nimes;43.838;4.361;minor
Le Mans;48.0077;0.1984;minor
Aix-en-Provence;43.5263;5.4454;minor
Brest;48.39;-4.49;minor
Boulogne-Billancourt;48.8352;2.2409;minor
Tours;47.3936;0.6892;minor
Amiens;49.892;2.299;minor
Limoges;45.8353;1.2625;minor
Annecy;45.916;6.133;minor
Montreuil;48.8611;2.4436;
Saint-Denis;48.9356;2.3539;minor
Metz;49.1203;6.1778;minor
Perpignan;42.6986;2.8956;minor
Orleans;47.9025;1.909;admin
Besancon;47.24;6.02;minor
Rouen;49.4428;1.0886;admin
Argenteuil;48.95;2.25;minor
Mulhouse;47.75;7.34;minor
Nancy;48.6936;6.1846;minor
Caen;49.18;-0.37;minor
Courbevoic;48.8978;2.2531;
Roubaix;50.6901;3.1817;
Tourcoing;50.7239;3.1612;
Nanterre;48.8988;2.1969;minor
Vitry-sur-Seine;48.7875;2.3928;
Creteil;48.7911;2.4628;minor
Aubervilliers;48.9131;2.3831;
Colombes;48.9236;2.2522;
Levallois-Perret;48.895;2.2872;
Aulnay-sous-Bois;48.9386;2.4906;
Poitiers;46.58;0.34;minor
Versailles;48.8053;2.135;minor
Clichy;48.9044;2.3064;
Issy-les-Moulineaux;48.8239;2.27;
Champigny-sur-Marne;48.8172;2.5156;
Rueil-Malmaison;48.876;2.181;
Saint-Maur-des-Fosses;48.7994;2.4997;
Drancy;48.93;2.45;
La Rochelle;46.16;-1.15;minor
Pau;43.3;-0.37;minor
Cannes;43.5513;7.0128;
Montrouge;48.8172;2.3219;
Antibes;43.5808;7.1239;
Vincennes;48.8478;2.4392;
Calais;50.9481;1.8564;minor
Ivry-sur-Seine;48.8078;2.3747;
Neuilly-sur-Seine;48.8881;2.2686;
Noisy-le-Grand;48.8478;2.5528;
Ajaccio;41.9267;8.7369;admin
Cergy;49.0361;2.0631;minor
Pantin;48.8966;2.4017;
Venissieux;45.6978;4.8867;
Antony;48.7539;2.2975;minor
Maisons-Alfort;48.8058;2.4378;
Epinay-sur-Seine;48.9553;2.3092;
Troyes;48.2997;4.0792;minor
Sarcelles;48.9956;2.3808;minor
La Seyne-sur-Mer;43.1;5.883;
Villejuif;48.7919;2.3636;
Cherbourg;49.6333;-1.6;minor
Le Blanc-Mesnil;48.9387;2.4614;
Bondy;48.9022;2.4828;
Suresnes;48.87;2.22;
Bellevue;48.871;2.385;
Saint-Ouen;48.9123;2.3342;
Bobigny;48.9106;2.4397;minor
Chambery;45.57;5.9118;minor
Fontenay-sous-Bois;48.8517;2.4772;
Puteaux;48.885;2.2389;
Lorient;47.75;-3.36;minor
Alfortville;48.805;2.4239;
Evry;48.6239;2.4294;minor
Meaux;48.9603;2.8883;minor
Sartrouville;48.9372;2.1644;
Clamart;48.8014;2.2628;
Sevran;48.9333;2.5333;
Chelles;48.8833;2.6;
Saint-Quentin;49.8486;3.2864;minor
Massy;48.7309;2.2713;
Corbeil-Essonnes;48.6139;2.482;
Vaulx-en-Velin;45.7768;4.9186;
Cagnes-sur-Mer;43.6644;7.1489;
Choisy-le-Roi;48.763;2.409;
Bayonne;43.49;-1.48;minor
Rosny-sous-Bois;48.8667;2.4833;
Noisy-le-Sec;48.8894;2.4503;
Gennevilliers;48.9333;2.3;
La Garenne-Colombes;48.9056;2.2445;
Livry-Gargan;48.9192;2.5361;
Garges-les-Gonesse;48.9728;2.4008;
La Courneuve;48.9322;2.3967;
Bastia;42.7008;9.4503;
Bagneux;48.7983;2.3137;
Meudon;48.8123;2.2382;
Bagnolet;48.8692;2.4181;
Belfort;47.64;6.85;minor
Chatillon;48.8;2.29;
Talence;44.8;-0.584;
Mantes-la-Jolie;48.9908;1.7172;minor
Malakoff;48.8169;2.2944;
